Model,Seed,NMAE,NRMSE,R2
SNN,42,0.028838145670532406,0.04208588374708169,0.9681200721856356
Classical NN,42,0.04909203959961339,0.057581733944963555,0.9403220489318015
Seasonal ARIMA,42,0.05040840810497501,0.060868423986773876,0.9333149407911491
MLP,42,0.13428396039150856,0.15074946908113884,0.5909692019573367
SNN,123,0.06675405136921882,0.07866537278866183,0.9263985859809054
Classical NN,123,0.0713494176353321,0.08677476826704364,0.9104416934493161
Seasonal ARIMA,123,0.05535254529834157,0.06741448759427929,0.9459463004200634
MLP,123,0.169910673494959,0.21429489180058653,0.4538114577756279
SNN,777,0.03574487858443572,0.04781077037662496,0.9673018526944943
Classical NN,777,0.06329979077084241,0.0779939161159153,0.9129852018702783
Seasonal ARIMA,777,0.042130895000249254,0.04878571963876451,0.9659547055845192
MLP,777,0.10681366766821454,0.12249014733059946,0.7853781288357861
SNN,2026,0.03523049701995864,0.04337538245693485,0.9667153683942278
Classical NN,2026,0.05223250117083831,0.061383500036737794,0.9333407510626803
Seasonal ARIMA,2026,0.052858632315390675,0.064377704138688,0.9266790489553056
MLP,2026,0.10471423964556222,0.12443044861380556,0.7260883815311203
SNN,9999,0.0595467396012101,0.07315624508375071,0.9213534774208652
Classical NN,9999,0.07274201939857798,0.08939295256311204,0.882568860258161
Seasonal ARIMA,9999,0.05769492152857191,0.0706086373191283,0.9267357054006512
MLP,9999,0.11299131073716462,0.13377546557306272,0.7370158015061228
